link,link-href,article
"Good governance gave  credibility, says Vinay Sahasrabuddhe","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/good-governance-gave-credibility-says-sahasrabuddhe/articleshow/58389236.cms","BJP's in-charge for the MCD polls,
    Vinay Sahasrabuddhe
    , tells that the party's track record of good governance has earned it great credibility. Excerpts:
  
  

  

  What were the key factors in BJP's win?
  

  

  First, it is the leadership of PM Narendra Modi, who has become a symbol of national aspiration for development and good governance. In our national president Amitbhai Shah, we have a master strategist. Besides, there was our track record of good governance which has earned us great credibility. And let's remember that people always vote for those who are seriously into politics with a robust organisational network and clear and sound policies.
  

  

  
    Whose idea was it to drop sitting corporators?
    

  
  

  In our party, all decisions are taken collectively under the leadership of our president. Dropping incumbent corporators was an experiment that we have done in the past too. This decision was not unusual, at least in BJP.
  

  

  
    But there was a risk of rebellion.
    

  
  सिर्फ 2 हफ्ते में खत्म हो रही डायबिटीजGlyxGoEarton MenBoy Blue Running Sports ShoesShopcluesRecommended By Colombia

  Well, one can always expect some rumblings and unpleasantness after this kind of decision. But we know that ideology-driven and cadre-based parties can digest such decisions and that is what actually happened. We could, at the end of the day, manage such issues.
  

  

  
    Amit Shah was actively involved in the polls.
    

  
  

  Yes and he was supremely effective. In fact, there are three Ds that go with Amit Shah's name. First is dedication. He works for nearly 16-17 hours and makes others work too. Second is his decisiveness. He is known for taking even difficult decisions very firmly. Then, his discipline. He remains and also makes everybody accountable.
  

  

  
    How do you see the AAP's politics?
    

  
  

  Their politics is a combination of opportunism and obstructionism. Party politics is much more than dharnas and demonstrations. There are parties whose ideology is unclear, organisation is fast becoming obscure and politics very reactionary. Why will people repose their confidence in them?"
"MCD results 2017: Arvind Kejriwal's quest for power behind AAP loss, says Anna Hazare","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/mcd-results-2017-arvind-kejriwals-quest-for-power-behind-aap-loss-says-anna-hazare/articleshow/58380889.cms","Social activist Anna Hazare on Wednesday blamed his former protege and Delhi Chief Minister Arvind Kejriwal's quest for power behind the Aam Aadmi Partys (AAP) debacle in the Delhi civic polls.
  

  

  As the counting of votes polled in the April 23 elections progressed, the Bharatiya Janata Party was headed for a clean sweep and set to retain the three municipal corporations for the third term in a row.
  

  सिर्फ 2 हफ्ते में खत्म हो रही डायबिटीजGlyxGoEarton MenBoy Blue Running Sports ShoesShopcluesRecommended By Colombia

  ""People gave him a mandate and he got an opportunity to turn Delhi into a model state for the entire country to replicate. But power is bad. Once you sit in the chair, you lose your power of thinking,"" said Hazare.
  

  

  ""Instead of working for Delhi, he started thinking about (capturing power in) Punjab and Goa. There was no need for him to hurry.
  

  

  ""But he was in a hurry and people realised that it is power in his mind and not society or the country,"" he said.
  

  

  Hazare also rejected Kejriwal's charge regarding tampering of electronic voting machines and said that in reality the gap between the AAP leaders' words and deeds eroded public faith in them.
  

  

  ""The deeds were not in accordance with words -- that is why this erosion of public faith. Their leaders are talking of introspection, but they should have done it earlier. What is its use now?"" added Hazare."
"AAP’s Delhi convener Dilip Kumar Pandey resigns","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/aaps-delhi-convener-pandey-resigns/articleshow/58389268.cms","NEW DELHI: AAP's Delhi convener Dilip Kumar Pandey resigned from his post hours after the final results of the civic polls were announced on Wednesday. Chandni Chowk MLA Alka Lamba also offered to resign from the assembly and other party positions over the party's drubbing in the corporation polls.
  

  

  ""I have resigned from the post of Delhi convener and conveyed my decision to the party's national convener Arvind Kejriwal,"" Pandey tweeted. He requested Kejriwal to appoint someone else to the post.
  

  

  An articulate and tech-savvy member of AAP who played a crucial role in the party's victory in the 2013 assembly polls, Pandey was earlier associated with the India Against Corruption movement. He is one of the founding members of AAP and served as its Delhi secretary when AAP won in 2013 and 2015 assembly polls.
  

  Earton MenBoys Grey Sports Running ShoesShopcluesWorld-class education awaits you @GLA Univ.GLA UniversityRecommended By Colombia

  Pandey played an active role in AAP's preparations for the civic polls. He often attacked BJP for its ""mismanagement"" of the municipal corporations which, Pandey claimed, was turned into a garbage bin. He was overseeing the AAP's campaign and strategy, along with Delhi in-charge of the party, Ashish Talwar
  

  

  Meanwhile, Lamba, in a tweet, offered to step down from various party posts, taking personal responsibility for the defeat of the AAP candidates in her constituency. ""I will continue to support Kejriwal till his fight against corruption,"" she tweeted.
  

  Latest CommentAnother dramaBalachandran Nair V

  Lamba, who visited Kejriwal's residence later in the afternoon, told TOI, ""I will talk about it (later).""
  

  

  Minister Gopal Rai, however, denied this, saying nobody had resigned. ""No resignation has come to us till now. The party will take a call when any resignation comes,"" he said."
"Last-placed, infighting cost Congress heavily","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/last-placed-infighting-cost-congress-heavily/articleshow/58389223.cms","NEW DELHI: As Congress finished a poor third in the municipal elections with a seat tally of 30 as against its previous tally of 77, hopes for its revival in Delhi appear bleak. Taking responsibility for the party's dismal performance in the polls, Delhi Congress chief Ajay Maken resigned but not before blaming former CM Sheila Dikshit and other senior politicians for not extending a helping hand during election campaigns.
  

  

  The Congress revival story was badly hit by infighting, which peaked when former PCC chief and former Delhi minister Arvinder Singh Lovely joined BJP just before the polls. Another former MLA and Mahila Congress president Barkha Singh too crossed over to BJP.
  

  

  In this backdrop, the poll results saw Congress win 12 seats in the south corporation, 15 in north and just three seats in the east corporation. The number of seats has gone down from 2012, when Congress won 19 seats in the east corporation, 29 each in south and north civic bodies.
  

  

  In the east, Congress vice-president Rahul Gandhi had joined the safai karamcharis who were on strike in 2015 and the party's main agenda, for this election, revolved around the same issue but it failed to make an impact.
  

  

  Despite its complete marginalisation, Congress is comparing this year's municipal poll results with the assembly election results of 2015 when it failed to open its account and claims that there has been a rise in the vote share by 11%.
  

  

  Leader of the opposition in the east corporation Varyam Kaur, who contested from Gandhi Nagar ward, lost to BJP by a margin of 9,000 votes. Kaur, who was considered a heavyweight, lost to Kanchan Maheshwari, a first-timer from BJP. Another heavyweight Virender Kasana, councillor from CR Park, lost to BJP's Subhash Bhadana and Praveen Rana from Bijwasan ward lost to AAP candidate Narender Rana.
  

  

  On the brighter side, Andrews Ganj councillor Abhishek Dutt retained his seat—he won by more than 4,000 votes and Yasmeen Kidwai, who contested for the first time from the Daryaganj ward in place of leader of the opposition in south corporation Farhad Suri, won the seat. A total of 92 candidates forfeited their deposits.
  

  Watch 13 Hours, a war film, live on Amazon Prime VideoAmazon Prime VideoBurn 30kg in 60 days without damaging your healthThe Fit Indian BlogRecommended By Colombia

  Last week, Maken had confidently announced that Congress would come to power in the three corporations, claiming that the party was on a strong wicket after the Rajouri Garden bypoll. In the bypoll that held on April 9, Congress vote share had gone up from 9% to 33%. But what followed next was a string of resignations from the party and posts.
  

  

  The first blow came when former cabinet minister A K Walia threatened to quit the party over ticket distribution. Thereafter, several other senior functionaries, including Sandeep Dikshit and Mangat Ram Singh came out in open and criticised Maken's alleged high-handedness in the managing the election affairs.
  

  

  After Congress retained the second position in Rajouri Garden bypoll, the major blow came from former DPCC chief Lovely, who joined BJP.
  

  

  Former Sheila Dikshit and senior functionary Harun Yusuf stayed away from the campaign. Dikshit had said she was not asked to campaign while Maken claimed to have sent a letter to every senior leader of Congress to join the poll campaign."
"Muslims lose faith in AAP, inch back to Congress","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/muslims-lose-faith-in-aap-inch-back-to-congress/articleshow/58408085.cms","NEW DELHI: The municipal poll results indicated that the Muslim vote — which helped Aam Aadmi Party substantially in the assembly polls of 2015 — was divided between Aam Aadmi Party and Congress. Though Arvind Kejriwal's party did win in a number of Muslim-majority areas, the margins were lower than those recorded two years ago.
  

  

  A day after BJP astonished Delhi by retaining the corporations for a third consecutive term, many Muslims confessed that on polling day they had been unsure of AAP's prospects due to, as one put it, the ""media's insistence that there is a wave against AAP"", and this had affected their voting decision. Iftikhar Ahmed, a watch seller in Batla House in south Delhi, nuanced this by explaining that AAP's loss was ""because every election has a wind in favour of one party, and this time there was a wave against AAP"".
  

  

  However, Ahmed was unwilling to blame only a wave to the exclusion of other factors. In fact, he said, ""AAP's reputation has dwindled due to its inadequacies in managing the city after coming to power."" And this perception that Kejriwal's party is doing little for the community is driving voters away.
  

  

  In Okhla, Muslims did not support AAP — as it had in electing the party's Amanatullah Khan as MLA in 2015 — because ""the promises made to us have not been fulfilled"", according to Zia Ul Haque, a plywood shop owner. Haque said that the CM often tweeted about new schools and hospitals in other areas, ""but nothing of this sort has been done for us"".
  

  United Bag Travelon Spacious Small Travel Bag  - Large GreenShopclues5 smart reasons to refinance your home loan.TomorrowMakersRecommended By Colombia

  Perhaps the division of votes to the detriment of AAP was most stark in Zakir Nagar in south Delhi, where Shoaib Danish of Congress retained his seat by just 1,070 votes, despite, as a voter grumbled, ""poor maintenance of the area for many years"". AAP's Mehmood Ahmad lost out because many of his supporters opted for RJD's Muslim candidate, even as Congress retained its base.
  

  

  Besides the divided support, Muslims voters suggested AAP has lost their trust. ""People had given AAP a chance thinking that it was new and would usher in progress in areas like ours,"" said Naeem, a butcher in Chitli Qabar in the Walled City. ""But we have only heard AAP leaders talking about how powerless they are."" Others said they had great hopes from AAP MLA Alka Lamba, but ""she is rarely seen in our localities"".
  

  

  Parvez Akhtar, a Turkman Gate shop owner, accused the BJP-ruled North Delhi Municipal Corporation of not providing enough funds to sitting corporator Aaley Mohammad Iqbal of Congress, who, he said, ""spend from his pocket to help the people"". Iqbal vanquished AAP's Riyazuddin by 7,519 votes.
  

  

  Kejriwal's image of a confrontationist also alarmed Muslims. Raeesuddin, a restaurant owner in Jama Masjid area, said, ""While the councillors say the MLA doesn't give them funds, Kejriwal told us the central government doesn't let him work."" Fed up, Raeesuddin said, the Muslims voted for the party with which they have always been comfortable."
"MCD election results: AAP's Delhi unit convenor Dilip Pandey quits","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/mcd-election-results-aaps-delhi-unit-convenor-dilip-pandey-quits/articleshow/58382600.cms","NEW DELHI: AAP's Delhi unit convenor Dilip Pandey resigned on Wednesday over the party's drubbing in the MCD polls.
  

  

  The party came a distant second, winning only 48 out of 272 wards.
  Your Car Says A Lot About You.Insure It !Bajaj Allianz Motor InsuranceGet up to 50% NCB on car insurance renewalET INSURERecommended By Colombia

  

  ""I have resigned from d post of AAP Delhi Convenor, conveyed to National Convenor @ArvindKejriwal to give this responsibility to someone else (sic),"" Pandey tweeted.
  

  

  Pandey, a crucial cog in the party's machinery, was overseeing MCD campaign and strategy along with AAP's Delhi in-charge Ashish Talwar.
  Top CommentThey already knew they would lose and prepared reasons beforehand....like an anticipatory bailHanumantrao Kulkarni

  

  Two days before the poll results, Pandey had expressed apprehension that the MCD poll results could be ""rigged"" and the ground for it was being prepared by ""floating"" exit polls predicting a BJP sweep."
"Delhi has 'rejected CM, elected PM': Yogendra Yadav on MCD polls","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/delhi-has-rejected-cm-elected-pm-yogendra-yadav-on-mcd-polls/articleshow/58378925.cms","NEW DELHI: As the
  BJP headed for a landslide win+
  in MCD polls, Swaraj India leader Yogendra Yadav said on Wednesday that Delhi has
  rejected chief minister+
  (Arvind Kejriwal) and elected PM(Narendra Modi).
  

  

  ""People's anger against the AAP overtook their disappointment with the BJP in MCD,"" Yadav said.
  

  

  ""People feel cheated by the AAP government. They went out to elect councillors but ended up rejecting the CM and electing the PM,"" the Swaraj India leader said.
  

  

  As many as 2,537 candidates contested for elections to the Cpital's three civic bodies on Sunday. The polls saw a 53.53% voter turnout, better than the previous occasion. And like before, unauthorised colonies, slum clusters and areas on the periphery of Delhi voted in large numbers with the urban areas giving a lukewarm response, PTI reported.
  

  

  AAP
  blamed the loss on electronic voting machines+
  (EVMs).
  

  

  On its charge of ""manipulation"" of EVMs, Yadav said - ""It's not the software of EVM, but it's the software of the ruling party that needs to be changed"".
  

  

  He added that municipal elections in Delhi were ""foundational elections"" for the Swaraj India Party and its leaders had ""zero expectations"" of winning any seat. He also said his party focussed on ""real issues"" that the people of Delhi were facing, like cleanliness, hygiene and health.
  Going abroad? Get unlimited incoming & 3 GBAirtelBurn 30kg in 60 days without damaging your healthThe Fit Indian BlogRecommended By Colombia

  

  ""We focussed on the issues on ground rather than talking about Kashmir or other things,"" Yadav said.
  

  

  He said Swaraj India was the only party to put up the details of donations on its website.
  Latest CommentGreat disappointment for the people after AAP has been rejected by Delhi.Mithilesh Kumar

  

  Yadav also reiterated that Delhi Chief Minister and Aam Aadmi Party leader Arvind Kejriwal should step down and the government should seek a referendum to ask people if the AAP still enjoys their mandate.
  

  

  Yadav was among the co-founders of the AAP, but fell out with Kejriwal."
"Delhi votes for BJP in MCD polls: PM expresses gratitude; Amit Shah says 'negative politics rejected'","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/delhi-votes-for-bjp-in-mcd-polls-pm-expresses-gratitude-amit-shah-says-negative-politics-rejected/articleshow/58380604.cms","NEW DELHI: The BJP on Wednesday moved towards a
  thumping victory in all the three municipal corporations+
  in Delhi by winning 181 seats as it
  decimated the AAP+
  and the Congress.
  

  

  The BJP has bagged 64 seats in the North MCD. Though the Aam Aadmi Party managed to win 21, the Congress bagged 15 seats in NDMC.
  

  

  In East Delhi Municipal Corporation (EDMC), BJP got 47 seats while AAP and Congress won 11 and three wards respectively.
  

  

  BJP managed to win 70 seats in South Delhi where AAP got 16 seats. Congress got 12 seats in the SDMC.
  

  

  Prime Minister Narendra Modi expressed gratitude to the people of Delhi for reposing faith in the BJP and ensuring its resounding victory in MCD polls.
  

  

  
  

  BJP president Amit Shah said the people of Delhi have rejected the negative politics and put their seal of approval on Prime Minister Narendra Modi's 'Sabka saath, sabka vikas' programme.
  

  

  ""This is an unprecedented win for the BJP. I express my gratitude to the people of Delhi. This is the victory of Modiji's leadership,"" he said reacting to the BJP's victory in the MCD polls.
  

  

  ""The people of Delhi have rejected the negative politics and the politics of excuses and helped Modiji's 'vijay rath' to move forward. It is a recognition of Modiji's leadership,"" he said.
  

  

  Expressing gratitude to the people of Delhi, Shah said ""In MCD's three municipal bodies, they have given us the victory with unexpected majority.""
  

  

  The BJP dedicated its impending win to the slain CRPF personnel in Chhattisgarh's Sukma district and decided to refrain from any celebrations.
  इस 1 अजीब नुस्खे से करें 2 हफ्ते में डायबिटीज़ जड़ से खत्मGlyxgoEarton MenBoys Grey Sports Running ShoesShopcluesRecommended By Colombia

  

  Delhi BJP chief Manoj Tiwari said that every heart is filled with grief over Monday's killing of 25 CRPF men by Naxals in Sukma and the party will not celebrate the victory.
  

  

  ""But for the Sukma incident, we would be on the streets celebrating this massive victory. We dedicate this win in the feet of Sukma martyrs,"" he said.
  Top CommentModi and his Cabinet is the sole ridding powers of BJP.Without Modi and his Cabinet and all their Ministers,BJP will achieve the same date as Congress.Modi is doing a Brilliant Job and the only thing... Read MoreModi and his Cabinet is the sole ridding powers of BJP.Without Modi and his Cabinet and all their Ministers,BJP will achieve the same date as Congress.Modi is doing a Brilliant Job and the only thing that can derail Modi and BJP is their Hindutva Ideologies. As of now Modi is not involved in the Hindutva Ideology and he should take a stiff stand against that and never approach that stance.Just now I was reading that 150 Kms of Highways are being Constructed everyday and 20,000 Kms of Highways will be Re-entry/U-turn free and barricaded by 2020.This is brilliant and that's what is required.Going around chasing Cows will not give anything.I know BJP isn't Involved in Cow Politics but it's solely these Hindu Right Wing groups causing Tension and Spoiling the name of our country.We Need Modi rule for at least 20 years from now to ensure India regains the title of the ""Sone ki chidiya""Rashid Abad

  

  The AAP's humiliating defeat plunged the party into a crisis even as its top leadership put up a brave front suggesting it was all expected due to tampering with EVMs, an allegation that has been rubbished by the Election Commission.
  

  

  ""EVM tampering is the bitter truth of the country's democracy. One can crack jokes on us initially, but fearing being made fun of, we cannot refrain from speaking the truth,"" Deputy Chief Minister Manish Sisodia told reporters."
"‘Biggest’ winner among those in race for mayor","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/biggest-winner-among-those-in-race-for-mayor/articleshow/58425866.cms","NEW DELHI: Having secured a comfortable victory in the municipal elections, BJP is now looking to firm up the names for mayors to the three civic bodies. In the first year, the posts are reserved for women.
  

  

  While there is still time to finalise the candidates, several names are already doing the rounds for the key posts — Kamaljeet Sehrawat, Shikha Rai and Nandani Sharma are among the potential candidates for south Delhi.
  

  

  Sehrawat, a former president of Delhi BJP's women's wing, is a strong contender as she has won from Dwarka-B ward by 9,866 votes, the highest margin in the polls this time. Party members said she was very active as the president of state unit's women's wing. Rai, who is a vice-president in Delhi BJP, too has a strong hold in the party.
  

  

  While most councillors are first-timers, BJP members said the party's s election for mayoral candidate would be based on experience and seniority. ""We will start the process soon. It will be a mixture of experience and fresh faces. We will select candidates who can ensure smooth implementation of party's agenda,"" said Harish Khurana, Delhi BJP spokesperson.
  

  Earton WomenGirl Tan Sports Running ShoesShopcluesPlan for life's bouncers in advance!MAX LIFE INSURANCERecommended By Colombia

  In north Delhi, names of Preeti Agarwal, who is a secretary in Delhi BJP, and Poonam Parashar Jha, head of Delhi BJP's women's wing and wife of former BJP MLA from Kirari Anil Jha, are strong contenders. Party members said Anju Jain, a second-time councillor, might also be considered due to her experience. She was elected a councillor in 2007.
  

  

  In east Delhi, Neema Bhagat, who won from Geeta Colony, is the top contender as she is a second-time councillor.
  

  

  While BJP members said there would not be much problem in selecting the mayors, the real challenge would be in appointing the standing committee chairmen, leaders of the House, zonal chairmen and members of various committees on health, education, horticulture, etc. ""The party plans to strengthen the leadership at the zonal level, as the zone chairmen will ensure proper implementation of all policies, which will be prepared by the corporations,"" said Praveen Shankar Kapoor, media in-charge, Delhi BJP.
  

  

  Tilak Raj Kataria, who was in charge of party's Panch Parmeshwar (boothlevel workers) for municipal elections, and Jai Prakash, vice-president in the state unit, are top contenders for the post of standing committee chairman and leader of the house in north corporation. Bipin Bihari Singh, who is head of Poorvanchal cell, is likely to get a key post in east corporation."
"3 AAP councillors brave the wave","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/3-aap-councillors-brave-the-wave/articleshow/58389070.cms","NEW DELHI: In an election where sitting councillors were steamrolled by the freshers of BJP, three AAP incumbents, elected to the municipal corporation in the by-polls last year, retained their seats. There weren't too many others on Wednesday, who like Ashok Kumar, Mohammad Sadiq and Ramesh Matiala, could boast of beating both anti-incumbency and the saffron wave.
  

  

  Kumar, who represented Vikas Nagar but was moved to Hastsal this time, was ahead of BJP's Harish Harjai by 965 votes. ""I humbly thank the people of my ward who gave me this opportunity to serve them. I had given my best in serving the people after last year's by-elections,"" Kumar said.
  

  

  The councillor, who has studied only up to Class X, said his humility and hard work had obviously caught the eye of the electorate. After moving to the new ward, Kumar strove to meet as many people as possible. ""I interacted with people from all sections, heard their problems and promised them my complete attention,"" he said.
  

  

  Matiala had a more comfortable relection from Matiala ward, beating his BJP rival Surendra Kumar by 3,857 votes. ""I thank the people of my ward for reposing faith in me,"" he said. AAP's sitting councillor from Ballimaran, Mohammad Sadiq, also weathered anti-incumbency handsomely, vanquishing Congress' Mohammad Qazzafi by 6,970 votes. Less than a year after winning the by-polls in May last year, Sadiq seemed to have a comfortable trust level with his electorate. ""I will use the opportunity to further help the people of my ward,"" Sadiq vowed.
  

  

  Rakesh Kumar too returned to the North Delhi Municipal Corporation. Originally a member of Rashtriya Lok Dal, he had shifted to AAP in 2013 and won this year's contest from Ajmeri Gate triumphing over Congress' Abhay Singh Yadav by 1,952 votes.
  

  Invest here today to become rich tomorrowFundsIndiaBurn up to 20 kilos with this easy methodThe Fit Indian BlogRecommended By Colombia

  Wednesday, otherwise, was not a happy day for sitting councillors. As prominent a leader as Varyam Kaur of Congress, who was outgoing leader of the Opposition in EDMC, lost to BJP newcomer Kanchar Maheswari in Gandhi Nagar by the overall third-highest margin of 9,115 votes.
  

  

  While Congress Andrews Ganj councillor Abhishek Dutta managed to retain his seat in Andrews Ganj and Shoaib Danish achieved a similar milestone in Zakir Nagar, their party heavyweight, Virender Kasana, yielded his Chittaranjan Park seat to BJP candidate Subhash Bhadana and Praveen Rana lost to AAP candidate Narender Rana in Bijwasan.
  

  

  ""People voted for me for my work and I will be glad to serve them again,"" said Dutt. ""We tried to do whatever we could done in the south corporation despite the hurdles and it paid off.""
  

  

  BJP too had a sitting councillor contesting from Nawada. However, Kishan Gehlot contested as an independent and beat AAP's Balraj Sharma to the post."
